PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Austin Rivers;SG;2022;29;67;41;26;0.612;22.1;2.2;5.2;0.417;1.2;3.4;0.342;0.5;0.7;0.727;0.3;1.4;1.7;1.3;0.8;0.8;0.1;0.2;1.8;0.7;6;0.8;0;0;111.1;0.063;0.092;0.232;0.051;8.3;5.6;5.6;22.1;0.06
Avery Bradley;SG;2022;31;62;27;35;0.435;22.7;2.4;5.6;0.423;1.3;3.4;0.39;0.3;0.3;0.889;0.5;1.7;2.2;0.8;0.6;0.9;0.1;0.3;1.9;0.5;6.4;-2.9;0;0;111.2;0.073;0.106;0.216;0.066;8.4;6;6.9;24.5;0.061
Ayo Dosunmu;SF;2022;22;77;42;35;0.545;27.4;3.6;6.9;0.52;0.9;2.4;0.376;0.7;1;0.679;0.4;2.4;2.8;3.3;1.4;0.8;0.4;0.5;2.4;0.9;8.8;-2.6;4;0;114.1;0.09;0.129;0.186;0.161;9.6;7.1;7.2;29.3;0.05
BJ Johnson;C;2022;26;4;2;2;0.5;16.1;2.8;6.3;0.44;1;2.5;0.4;0;0;0;1.5;2.3;3.8;0;0;0;0.3;0.5;1;0;6.5;-3;0;0;113;0.122;0.209;0;0.167;3.8;5.3;3.3;13;0.034
Bam Adebayo;C;2022;24;56;36;20;0.643;32.6;7.3;13;0.557;0;0.1;0;4.6;6.1;0.753;2.4;7.6;10.1;3.4;2.6;1.4;0.8;0.7;3.1;5.4;19.1;5.4;27;0;104.9;0.234;0.324;0.27;0.415;10.4;7.5;7.9;28;0.147
Ben McLemore;SG;2022;29;64;20;44;0.313;20.1;3.4;8.4;0.401;2.4;6.5;0.362;1.1;1.4;0.818;0.2;1.4;1.6;0.9;0.9;0.6;0.2;0.3;1.6;1.4;10.2;-5.5;0;0;115;0.072;0.11;0.162;0.097;7.8;6;6.9;19.6;0.032
Bismack Biyombo;C;2022;29;36;30;6;0.833;14.1;2.4;4;0.593;0;0;0;1.1;2;0.535;1.8;2.9;4.6;0.6;0.7;0.3;0.7;0.2;1.9;1.7;5.8;1.4;6;0;106.2;0.207;0.283;0.126;0.553;4.2;3.7;2.9;11.4;0.058
Blake Griffin;PF;2022;33;56;29;27;0.518;17.1;2.4;5.6;0.425;0.7;2.6;0.262;1;1.4;0.724;1.1;3;4.1;1.9;0.6;0.5;0.3;0.3;1.7;2.2;6.4;-1.7;1;0;112.5;0.169;0.25;0.185;0.154;6.3;4.7;5.5;16.6;0.04
Boban Marjanovic;PF;2022;33;23;15;8;0.652;5.6;1.8;3;0.6;0;0.2;0.25;0.6;1;0.591;0.3;1.3;1.7;0.1;0.7;0;0.1;0.2;1;0.9;4.3;1.5;0;0;95.5;0.228;0.301;0;0.333;2.3;0.8;1.3;4;0.042
Bobby Portis;C;2022;27;72;46;26;0.639;28.2;5.8;12.1;0.479;1.8;4.7;0.393;1.2;1.6;0.752;2.5;6.6;9.1;1.2;1.3;0.7;0.7;0.7;2.4;1.5;14.6;4.4;24;0;108.5;0.218;0.301;0.165;0.321;8.7;7.4;5.7;23.9;0.098
